sad, downed, depressed, woeful, gloomy, miserable, sorrowful, unhappy, dejected, forlorn, mournful, crest fallen, melancholy

like, love, admire, fancy, adore, appreciate, idolize, prefer, cherish, care for, favor, enjoy, treasure

happy, glad, jovial, jubilant, joyful, thrilled, cheerful, merry, contented, pleased, delighted, jolly, elated

saw, glimpsed, noticed, observed, sighted, spotted, stared at, eyed, glanced at, gazed at, spied, examined, watched

smart, witty, bright, intelligent, clever, sharp, brainy, gifted, wise, ingenious, knowledgeable, quick-witted, brilliant

pretty, beautiful, lovely, attractive, elegant, cute, handsome, fair, striking, gorgeous, stunning, glamorous, exquisite

little, teeny, compact, wee, petite, small, tiny, minute, slight, diminutive, microscopic, miniature, miniscule

although, admitting, albeit, despite, despite the fact, even if, even supposing, granting, granting all this, in spite of, much as, notwithstanding, still, supposing, though, when, whereas

therefore, accordingly, so, in line with, then, thus, because of this, as reported by, consequently, hence, thence, and so, resulting from, ergo, for, for this reason, for as much as, in consequence, in that event, as a result, in as much as, it follows that, on account of, on the grounds, in consequence of this, since, therefrom, thereupon, to the end, whence, wherefore

also, furthermore, in conjunction with, in like manner, including, too, along with, besides, additionally, along, more than that, further, likewise, more, still, and, in addition, as well, as well as, conjointly, again, moreover, on top of, over and above, plus, to boot, together with, withal

but, although, however, except, nevertheless, on the other hand, still, yet, though, yet, only, except for, in contrast, whereas, on the contrary, nonetheless, alternatively, otherwise

good, great, pleasant, marvelous, delightful, superior, wonderful, splendid, superb, grand, terrific, amazing, excellent

bad, evil, obscene, terrible, dreadful, vile, abhorrent, brutal, sinister, despicable, nasty, wicked

nice, kind, decent, warm, humane, benevolent, thoughtful, gracious, considerate, congenial, agreeable, cordial, courteous

