nowadays, in today's world, in contemporary society
big, enormous, considerable, tremendous, substantial
small, negligible, insignificant, minor
fix, rectify, remedy, resolve
less and less, a diminishing proportion of, a declining proportion of
worse, more detrimental, more harmful, inferior
more and more, a growing proportion of, an increasing number of
better, more effective, more beneficial, superior
think about, take into account, consider, reflect on
need, require, necessitate, be essential to
show, depict, demonstrate, illustrate
make, generate, produce, create
enough, adequate, ample, sufficient
no enough, inadequate, insufficient
cheap, cost-effective, affordable, inexpensive
costly, expensive, exorbitant, pricey
I think, I firmly believe that, from my perspective
but, nevertheless, however, on the other hand
so, hence, thus, therefore
good, advantageous, beneficial, favourable
for example, this can illustrated by, this can be exemplified by
because, due to the fact that, owing to the fact that
important, critical, crucial, essential, vital
bad, harmful, detrimental, adverse
overall, taking everything into consideration, all things considered
a lot of, a great deal of, numerous, plethora of
always, consistently, invariably, on a regular basis
in conclusion, in summary, to conclude
people believe, it is commonly assumed that, it is widely believed that
I agree, I'm agreement with the view that
I disagree, I remain unconvinced that, I'm not convinced that
sometimes, from time to time, on certain occasion, at times
